year,Top decile as % median - Annual net salary for full-time jobs
1950,181.0
1951,192.0
1952,192.0
1954,194.0
1956,198.0
1957,196.0
1959,201.0
1960,202.0
1961,203.0
1962,205.0
1963,200.0
1964,200.0
1965,208.0
1966,209.0
1967,207.0
1968,203.0
1969,203.0
1970,203.0
1971,201.0
1972,202.0
1973,200.0
1974,201.0
1975,201.0
1976,197.0
1977,196.0
1978,196.0
1979,194.0
1980,193.0
1981,193.0
1982,194.0
1983,194.0
1984,193.0
1985,195.0
1986,196.0
1987,197.0
1988,197.0
1989,199.0
1990,199.0
1991,199.0
1992,197.0
1993,195.0
1994,200.0
1995,198.0
1996,198.0
1997,197.0
1998,196.0
1999,199.0
2000,200.0
2001,201.0
2002,200.0
2003,199.0
2004,200.0
2005,199.0
2006,199.0
2007,199.0
2008,198.0
2009,197.0
2010,197.0
2011,198.0
2012,199.0
2013,199.0
2014,201.0
2015,202.0
